"1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015"
"31" 1024803 1033731 1010488 988108 1008507 1139548 1103580 1151871 1211649 1299927 1398683 1458468 1477202 1508024 1531844 1563553 1619082 1642753 1649582 1639008 1689751 1725551 1691115 1611876 1570954 1769463 1895998 1913042 1880642 1831841 1535670 1654328 2321081 2400860 2347555 2138107 1981536 1857023 1746975 1658154 1637739 1563284 1507873 1543649 1560281 1528933 1521022 1545899 1588992 1643306 1641663 1486941 1784745 1787531 1823260 1862680 1911210 1957085 1973065 1922771 1828839 1747829 1674437 1626082 1562212 1514040 1456397 1437321 1430874
"32" 1037615 1020278 1030016 1005759 983542 1005453 1136906 1101581 1150234 1209522 1296879 1395889 1455373 1474032 1505954 1532404 1564341 1620050 1644664 1651109 1637925 1689515 1724555 1690926 1612290 1571452 1777538 1905992 1916346 1883737 1830821 1534126 1653362 2320449 2400090 2346289 2137163 1981073 1856568 1746896 1656846 1635986 1562269 1506398 1542298 1560626 1529437 1521413 1546086 1588814 1643090 1641925 1486399 1783604 1787482 1824718 1862684 1912133 1954243 1975772 1925688 1831269 1749650 1676007 1626069 1561047 1512890 1455373 1436585
"33" 1014042 1033191 1016782 1026998 1001841 980135 1003074 1134704 1099653 1148530 1206222 1293740 1393343 1452272 1471497 1505437 1533038 1565265 1621122 1645376 1649428 1636756 1689179 1723355 1690435 1611876 1578255 1785642 1908464 1918426 1882614 1829671 1532444 1652318 2319481 2398660 2344958 2136214 1980540 1855892 1745479 1655410 1634197 1561212 1505249 1542235 1560951 1529983 1521704 1546250 1588526 1642932 1641871 1484171 1781195 1789441 1824275 1863017 1909331 1956774 1978451 1928525 1833659 1751515 1677611 1624895 1560178 1511962 1454744
"34" 999665 1010448 1029730 1013955 1023986 998158 977189 1000798 1132498 1097691 1145362 1202852 1290742 1390775 1449420 1470244 1504885 1533646 1566105 1621145 1642859 1647754 1635715 1688701 1722120 1689164 1617888 1585010 1786675 1909926 1917024 1881407 1828447 1530735 1651269 2318003 2397107 2343476 2135216 1979663 1854677 1744050 1653931 1632350 1560445 1505340 1542088 1561110 1530458 1521872 1545664 1587563 1642641 1641830 1486565 1782778 1789414 1824782 1860915 1911394 1959262 1981106 1931308 1835996 1753227 1676115 1623715 1558880 1510837
"35" 999681 999308 1007978 1026960 1011145 1019929 995092 974675 998720 1130268 1094719 1142100 1199803 1287846 1388229 1446816 1468939 1504430 1534354 1565746 1618195 1640363 1645941 1634397 1688174 1720915 1694879 1623819 1585406 1786698 1907987 1915591 1880086 1827103 1529196 1650038 2316479 2395359 2341815 2133783 1977861 1853451 1742550 1652452 1630804 1560573 1505455 1541872 1561253 1530821 1521507 1544994 1587184 1641677 1642644 1487073 1783000 1789260 1821132 1862107 1913423 1961657 1983673 1933973 1838265 1751592 1674762 1622477 1557784
"36" 982903 991887 999802 1006029 1024024 1007220 1016401 992270 972144 996424 1127207 1091705 1139109 1196729 1285152 1385558 1444455 1467778 1503971 1533100 1562284 1615239 1637750 1644009 1633113 1688230 1726914 1700547 1623242 1584998 1783880 1905845 1914162 1878737 1825488 1528191 1648762 2314714 2393602 2340108 2131567 1976058 1852095 1741047 1651103 1630331 1560578 1505434 1541554 1561264 1530535 1520637 1544416 1586802 1644285 1643841 1487114 1783799 1786921 1823378 1863350 1915396 1964009 1986167 1936619 1836538 1750202 1673349 1621079
"37" 969252 972716 984970 1000754 1003832 1019660 1003763 1013093 989560 969495 993084 1123980 1088987 1136030 1193952 1282952 1382890 1441909 1466527 1501404 1526075 1558649 1612093 1634941 1641899 1632209 1695273 1732812 1699028 1621993 1582243 1780841 1903625 1912691 1877073 1823466 1527078 1647336 2312771 2391620 2338083 2129266 1974038 1850657 1739754 1650754 1629791 1560524 1505380 1541218 1561119 1529621 1519459 1544359 1590742 1645080 1643914 1486604 1782659 1788997 1825595 1864472 1917249 1966257 1988563 1934893 1834915 1748714 1672122
"38" 940916 960978 963493 978621 1000612 999494 1015818 1000620 1009746 986605 965897 989677 1120993 1086234 1133277 1191986 1280692 1380011 1439200 1463836 1493131 1519121 1555061 1608710 1632184 1639945 1638167 1702104 1731365 1697222 1618850 1579400 1777749 1901292 1910730 1874374 1821305 1525830 1645760 2310717 2389330 2336073 2126800 1971958 1849392 1739303 1650181 1629153 1560433 1505084 1540675 1559701 1528534 1519089 1546768 1590936 1645556 1644110 1483266 1783697 1790958 1827686 1865462 1918960 1968403 1986724 1933193 1833423 1747475
"39" 920108 932881 953623 954674 973150 996090 995747 1012082 997317 1006466 982865 962100 986416 1117999 1082937 1130905 1189712 1278336 1377045 1436222 1456560 1484552 1512033 1551085 1605609 1630068 1644815 1643872 1701804 1729285 1694187 1615778 1576455 1774465 1898757 1907917 1871562 1818824 1524464 1644126 2308145 2386848 2333834 2124278 1970082 1848768 1738736 1649507 1628391 1560166 1504476 1539652 1558870 1528246 1522178 1546879 1590768 1645508 1643699 1484785 1784733 1792807 1829697 1866341 1920625 1966442 1985011 1931340 1831867
"40" 832966 912481 925334 946789 947358 969417 992006 992070 1008472 994098 1002571 979067 958425 983153 1114583 1078638 1128619 1187499 1275951 1373977 1432336 1449247 1475959 1504585 1547581 1603393 1634066 1649335 1642555 1700787 1726014 1690821 1612564 1573492 1771125 1895795 1904954 1868452 1816187 1522742 1642343 2305310 2384244 2331350 2121955 1969186 1847998 1737990 1648732 1627478 1559577 1503003 1538395 1558004 1530450 1521840 1546650 1590768 1644463 1644263 1486202 1785549 1794516 1831530 1867090 1918768 1964524 1983075 1929730
"41" 822854 822624 905664 918278 940716 944368 966172 988108 988465 1004660 990094 998492 975317 954735 979790 1110544 1074109 1126174 1185099 1273313 1370497 1428384 1441784 1467118 1499070 1545717 1607292 1637948 1647016 1640342 1696908 1722905 1687308 1609211 1570399 1768047 1892727 1901678 1865119 1813354 1520264 1640526 2302416 2381391 2329205 2120918 1967993 1847073 1737216 1647845 1626551 1558047 1501244 1538193 1560939 1529726 1521046 1546498 1590421 1644854 1644711 1487575 1786309 1796070 1833282 1865099 1916857 1962608 1981095
"42" 808729 814783 813071 899429 911895 936172 941682 963250 984291 984805 1000013 985880 994703 971532 951218 976614 1106353 1069554 1123561 1182657 1269918 1366950 1424169 1434253 1460665 1499975 1549684 1610883 1635176 1644002 1635973 1692807 1719598 1683709 1605829 1567465 1764820 1889294 1898159 1861733 1810113 1517767 1638481 2299314 2378546 2328198 2119535 1966678 1845890 1736109 1646543 1624545 1556484 1500462 1540529 1559814 1528773 1520327 1544673 1590447 1645178 1645051 1488874 1786897 1797575 1831308 1863295 1914877 1960601
"43" 830153 800998 807632 803679 893501 906491 931996 939026 960216 980373 980491 995141 981893 990704 967818 948211 973399 1102141 1064957 1120916 1180098 1266421 1363218 1419674 1428328 1461882 1506375 1553492 1607945 1631913 1639409 1631593 1688393 1716035 1679912 1602413 1564385 1761316 1885667 1894711 1858107 1806617 1515073 1636216 2296038 2375961 2326856 2117898 1965136 1844504 1734630 1644543 1622409 1555587 1503494 1539136 1558185 1527625 1517822 1544734 1590373 1645296 1645165 1489980 1787400 1795562 1829258 1861301 1912904
"44" 834973 822191 793908 800761 795798 888534 901442 927916 936274 956576 975617 975840 990338 977583 986654 964223 944917 969991 1097545 1060847 1117966 1177360 1262720 1359124 1415349 1428153 1468661 1512690 1550976 1604371 1626946 1634559 1626872 1683866 1712202 1676176 1598871 1561001 1757456 1881690 1891316 1854419 1802860 1512179 1633950 2293002 2373036 2325082 2116040 1963321 1842587 1731644 1642154 1619972 1555048 1501534 1537162 1556774 1525756 1517556 1544582 1590111 1645338 1645150 1490981 1784814 1793668 1826905 1859230
"45" 820546 827036 814745 787159 794412 791824 884047 896403 923642 932984 951325 970556 971280 985310 973332 982999 960503 941541 966520 1093251 1058809 1114897 1174381 1258651 1354889 1412225 1432686 1475167 1512940 1547698 1598912 1621676 1629516 1622010 1679230 1707855 1672087 1594914 1557306 1753378 1877142 1887855 1850344 1798936 1509239 1631742 2289779 2369696 2323096 2113705 1960791 1839180 1728821 1639914 1619203 1552877 1498939 1535757 1554268 1525003 1517174 1544317 1589798 1645081 1644949 1489028 1782297 1791260 1824502
